"Ticker","Asset Class","Sub-Class","Region","Liquidity","ESG Rating","Description"
"AAPL","Equities","Large Cap","U.S.","High","High","Apple Inc. (Tech: ESG leader)"
"MSFT","Equities","Large Cap","U.S.","High","High","Microsoft Corp. (Tech: strong ESG)"
"XOM","Equities","Large Cap","U.S.","High","Low","Exxon Mobil Corp. (Oil & Gas)"
"FSLR","Equities","Mid Cap","U.S.","Low","High","First Solar: Inc. (Renewable Energy)"
"SWBI","Equities","Small Cap","U.S.","Low","Low","Smith & Wesson Brands (Firearms)"
"PLD","REITs","Large Cap (Industrial)","U.S.","High","High","Prologis Inc. (Sustainable logistics REIT)"
"VNO","REITs","Large Cap (Office)","U.S.","High","Low","Vornado Realty Trust (Traditional REIT)"
"HASI","REITs","Small Cap (Green Infra)","U.S.","Low","High","Hannon Armstrong (Sustainable infrastructure REIT)"
"GLD","Commodities (ETF)","Gold","Global","High","High","SPDR Gold Shares ETF (Gold: ESG-neutral)"
"USO","Commodities (ETF)","Oil","Global","High","Low","United States Oil Fund (Tracks crude oil)"
"GRN","Commodities (ETN)","Carbon Credits","Global","Low","High","iPath Series B Carbon ETN (Carbon credits)"
"ICLN","Alternative Investments (ETF)","Clean Energy","Global","High","High","iShares Global Clean Energy ETF"
"VOO","Equities","Large Cap","U.S.","High","High","Vanguard S&P 500 ETF"
"ARKK","Equities","Mid Cap","U.S.","High","Medium","ARK Innovation ETF (Tech & Disruptive Innovation)"
"TSLA","Equities","Large Cap","U.S.","High","High","Tesla Inc. (EV: Clean Energy)"
"NVDA","Equities","Large Cap","U.S.","High","High","NVIDIA Corp. (Semiconductors: AI)"
"BABA","Equities","Large Cap","China","High","Medium","Alibaba Group (E-commerce: China)"
"TSM","Equities","Large Cap","Taiwan","High","High","Taiwan Semiconductor Manufacturing Co."
"EWJ","Equities (ETF)","Large Cap (Broad Market)","Japan","High","High","iShares MSCI Japan ETF"
"EEM","Equities (ETF)","Large Cap (Emerging Markets)","Global","High","Medium","iShares MSCI Emerging Markets ETF"
"BITO","Cryptocurrency (ETF)","Bitcoin Futures","Global","High","Low","ProShares Bitcoin Strategy ETF"
"LIT","Commodities (ETF)","Lithium Mining","Global","High","Medium","Global X Lithium & Battery Tech ETF"